anio,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2026,1,01,Aguascalientes,001,Aguascalientes,3,2,3,1,2,2,1,3,1.0,563673.74
2026,1,01,Aguascalientes,001,Aguascalientes,3,2,3,1,2,2,2,4,1.0,1014348.49
2026,1,01,Aguascalientes,001,Aguascalientes,4,3,1,1,1,1,,,4.0,0.0
2026,1,01,Aguascalientes,001,Aguascalientes,4,3,1,1,2,1,,,1.0,0.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,2,1,2,3,4,1.0,735232.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,2,1,2,3,5,1.0,1247628.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,2,2,2,3,4,1.0,1414000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,1,4,1.0,811887.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,1,5,1.0,2636100.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,1,6,1.0,3300000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,2,4,1.0,2042000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,3,4,1.0,1858500.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,3,5,1.0,2140025.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,4,4,2.0,2959154.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,5,5,1.0,2616560.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,2,6,6,1.0,6999500.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,1,3,3,5,2.0,3625000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,2,2,1,4,2.0,2677500.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,2,2,3,4,2.0,2668425.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,2,2,6,5,4.0,9526961.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,2,3,3,4,2.0,3648284.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,2,1,2,3,3,5,1.0,1300000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,5,1,1,2,4,5,1.0,2900000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,5,1,1,2,6,6,1.0,6781797.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,5,1,2,2,3,4,1.0,1266747.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,1,5,1,2,2,6,6,1.0,4999000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,2,1,1,2,4,1.0,1214498.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,2,1,2,5,4,1.0,1422495.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,1,1,2,2,4,1.0,1898700.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,1,1,2,3,4,1.0,2239200.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,1,1,2,4,4,3.0,3517398.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,1,1,2,4,5,1.0,4139999.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,1,2,2,4,4,1.0,1414800.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,2,3,1,2,3,2,4,1.0,850000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,4,4,1,1,2,1,4,1.0,1460000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,4,4,1,1,3,6,5,1.0,1664846.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,4,4,1,2,2,6,6,1.0,5474534.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,4,7,1,1,1,1,3,2.0,1642275.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,4,7,1,1,2,6,5,1.0,2961000.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,2,4,7,1,2,2,4,4,1.0,975800.0
2026,1,01,Aguascalientes,005,Jes�s Mar�a,3,1,2,1,1,1,2,4,1.0,652895.21
2026,1,01,Aguascalientes,005,Jes�s Mar�a,3,1,2,1,2,1,2,4,1.0,807018.64
2026,1,01,Aguascalientes,005,Jes�s Mar�a,3,1,2,1,2,2,2,3,1.0,949863.2
2026,1,01,Aguascalientes,005,Jes�s Mar�a,3,1,2,1,2,2,3,4,1.0,813512.89
2026,1,01,Aguascalientes,005,Jes�s Mar�a,3,2,3,1,2,2,2,4,1.0,880631.17
2026,1,01,Aguascalientes,006,Pabell�n de Arteaga,2,4,6,1,2,2,4,4,1.0,1476654.0
2026,1,01,Aguascalientes,007,Rinc�n de Romos,4,3,1,1,1,1,,,1.0,0.0
2026,1,01,Aguascalientes,011,San Francisco de los Romo,2,1,2,2,2,2,2,4,1.0,1118544.0
2026,1,01,Aguascalientes,011,San Francisco de los Romo,2,2,3,1,2,2,6,3,1.0,807700.0
2026,1,01,Aguascalientes,011,San Francisco de los Romo,3,1,2,1,2,2,5,5,1.0,2128669.48
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,,1,1,1.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,,1,3,1.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,,1,4,6.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,,1,5,4.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,,1,6,1.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,,6,4,2.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,,6,5,2.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,1,3,4,1.0,669002.19
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,1,4,3,1.0,815939.27
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,1,4,4,1.0,856023.6
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,1,5,4,1.0,579666.32
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,1,5,5,1.0,1293926.55
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,1,6,4,1.0,533217.84
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,2,1,4,1.0,624552.14
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,2,2,4,1.0,270501.51
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,2,5,4,1.0,1427263.18
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,2,6,4,1.0,1222300.61
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,2,6,5,2.0,5462603.74
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,1,3,6,4,1.0,2123781.89
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,,1,4,4.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,,1,5,2.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,,6,4,4.0,0.0
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,1,4,3,1.0,901391.64
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,1,4,4,1.0,776031.2
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,2,2,4,2.0,875150.56
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,2,2,5,1.0,231244.16
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,2,4,3,1.0,873638.6
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,2,5,4,1.0,1371316.48
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,2,2,2,6,4,3.0,4581540.36
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,1,3,2.0,792427.27
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,2,2,9.0,5971466.68
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,2,3,8.0,4112823.05
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,2,4,5.0,3363161.64
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,3,2,6.0,4220650.79
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,3,3,10.0,6562562.54
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,3,4,7.0,4956955.54
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,4,4,1.0,865286.59
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,5,4,1.0,1315240.18
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,5,5,2.0,2664587.89
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,1,6,4,2.0,3955136.65
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,1,2,1.0,370802.6
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,1,3,3.0,1493585.12
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,1,4,1.0,578061.3
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,2,2,4.0,2722289.38
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,2,3,7.0,4254962.91
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,2,4,3.0,1951017.04
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,3,2,2.0,1393342.82
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,3,3,6.0,3047400.14
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,3,4,6.0,3946938.58
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,4,3,2.0,1841950.14
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,4,4,3.0,2550396.56
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,5,3,1.0,965182.68
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,5,4,1.0,1248951.09
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,6,3,2.0,1834458.9
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,2,6,4,7.0,11080697.99
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,1,3,1,3,1.0,344349.47
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,1,3,3.0,1526987.35
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,1,4,2.0,1201352.54
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,2,2,5.0,3339612.97
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,2,3,5.0,2988805.94
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,2,4,4.0,2569505.87
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,3,2,3.0,2053240.74
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,3,3,5.0,3638342.69
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,3,4,2.0,1435541.82
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,4,4,2.0,1777897.89
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,4,5,1.0,885749.16
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,5,4,1.0,1282031.92
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,1,5,5,1.0,1198085.18
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,1,2,1.0,294264.2
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,1,3,4.0,2130564.24
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,1,4,4.0,2357578.68
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,2,2,4.0,2585691.05
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,2,3,6.0,3552415.08
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,2,4,2.0,1298937.4
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,3,2,1.0,674487.47
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,3,3,3.0,2202578.9
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,3,4,4.0,2987377.46
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,4,3,1.0,742991.37
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,4,4,6.0,5268307.63
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,5,3,2.0,2032751.44
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,5,4,1.0,1293792.19
2026,1,01,Aguascalientes,1,Aguascalientes,1,1,2,1,2,2,6,4,3.0,5056438.17
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,2,1,2,4,4,1.0,546344.29
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,2,1,2,6,4,1.0,769789.96
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,2,1,2,6,5,2.0,2207804.32
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,2,2,2,4,3,1.0,999367.16
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,1,2,3.0,1723868.77
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,1,3,2.0,1094645.63
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,2,2,3.0,1803751.38
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,2,3,7.0,3637948.08
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,2,4,2.0,1301861.74
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,3,2,2.0,1280785.47
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,3,3,6.0,3807432.4
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,3,4,3.0,2007635.81
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,4,3,6.0,5013302.1
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,4,4,2.0,1634021.89
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,5,4,1.0,1100143.61
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,6,3,1.0,1269942.47
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,1,6,4,1.0,1330721.56
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,1,2,3.0,1816445.86
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,1,3,4.0,1695810.34
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,1,4,1.0,685335.6
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,2,2,3.0,1578136.29
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,2,3,4.0,2076139.64
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,2,4,1.0,634486.06
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,3,2,1.0,598361.18
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,3,3,3.0,1765096.84
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,3,4,3.0,2188143.72
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,4,2,1.0,606552.29
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,4,3,4.0,3047763.38
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,4,4,6.0,5437100.82
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,5,2,1.0,717874.6
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,5,4,4.0,4286191.88
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,6,3,1.0,1144747.25
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,6,4,6.0,11066939.04
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,1,2,6,5,1.0,2110761.22
2026,1,01,Aguascalientes,1,Aguascalientes,1,2,3,1,2,1,1,2,2.0,1218988.6
